t_s,x_px,y_px
0.0,422.0,297.0
0.1,422.1595580006035,297.0075790050287
0.2,422.319116001207,297.01515801005735
0.3,422.47867400181053,297.022737015086
0.4,422.63823200241404,297.0303160201147
0.5,422.79779000301755,297.03789502514337
0.6,422.95734800362106,297.04547403017204
0.7,423.1169060042246,297.0530530352007
0.8,423.2764640048281,297.0606320402294
0.9,423.4360220054316,297.06821104525807
1.0,423.5955800060351,297.07579005028674
1.1,423.7551380066386,297.0833690553154
1.2,423.9146960072421,297.0909480603441
1.3,424.07425400784564,297.09852706537276
1.4,424.23381200844915,297.10610607040144
1.5,424.39337000905266,297.1136850754301
1.6,424.55292800965617,297.1212640804588
1.7,424.7124860102597,297.12884308548746
1.8,424.8720440108632,297.13642209051613
1.9,425.0316020114667,297.1440010955448
2.0,425.1911600120702,297.1515801005735
2.1,425.3507180126737,297.15915910560216
2.2,425.51027601327723,297.16673811063083
2.3,425.66983401388075,297.1743171156595
2.4,425.82939201448426,297.1818961206882
2.5,425.98895001508777,297.18947512571685
2.6,426.1485080156913,297.1970541307455
2.7,426.3080660162948,297.2046331357742
2.8,426.4676240168983,297.2122121408029
2.9,426.6271820175018,297.21979114583155
3.0,426.7867400181053,297.2273701508602
3.1,426.94629801870883,297.2349491558889
3.2,427.10585601931234,297.2425281609176
3.3,427.26541401991585,297.25010716594625
3.4,427.42497202051936,297.2576861709749
3.5,427.5845300211229,297.2652651760036
3.6,427.7440880217264,297.27284418103227
3.7,427.9036460223299,297.28042318606094
3.8,428.0632040229334,297.2880021910896
3.9,428.2227620235369,297.2955811961183
4.0,428.3823200241404,297.30316020114697
4.1,428.54187802474394,297.31073920617564
4.2,428.70143602534745,297.3183182112043
4.3,428.86099402595096,297.325897216233
4.4,429.02055202655447,297.33347622126166
4.5,429.180110027158,297.34105522629034
4.6,429.3396680277615,297.348634231319
4.7,429.499226028365,297.3562132363477
4.8,429.6587840289685,297.36379224137636
4.9,429.818342029572,297.37137124640503
5.0,429.97790003017553,297.3789502514337
5.1,430.13745803077904,297.3865292564624
5.2,430.29701603138255,297.39410826149106
5.3,430.45657403198607,297.40168726651973
5.4,430.6161320325896,297.4092662715484
5.5,430.7756900331931,297.4168452765771
5.6,430.9352480337966,297.42442428160575
5.7,431.0948060344001,297.4320032866344
5.8,431.2543640350036,297.4395822916631
5.9,431.41392203560713,297.4471612966918
6.0,431.57348003621064,297.45474030172045
6.1,431.73303803681415,297.4623193067491
6.2,431.89259603741766,297.4698983117778
6.3,432.0521540380212,297.47747731680647
6.4,432.2117120386247,297.48505632183515
6.5,432.3712700392282,297.4926353268638
6.6,432.5308280398317,297.5002143318925
6.7,432.6903860404352,297.50779333692117
6.8,432.8499440410387,297.51537234194984
6.9,433.00950204164224,297.5229513469785
7.0,433.16906004224575,297.5305303520072
7.1,433.32861804284926,297.53810935703586
7.2,433.48817604345277,297.54568836206454
7.3,433.6477340440563,297.5532673670932
7.4,433.8072920446598,297.5608463721219
7.5,433.9668500452633,297.56842537715056
7.6,434.1264080458668,297.57600438217924
7.7,434.2859660464703,297.5835833872079
7.8,434.44552404707383,297.5911623922366
7.9,434.60508204767734,297.59874139726526
8.0,434.76464004828085,297.60632040229393
8.1,434.92419804888436,297.6138994073226
8.2,435.0837560494879,297.6214784123513
8.3,435.2433140500914,297.62905741737995
8.4,435.4028720506949,297.6366364224086
8.5,435.5624300512984,297.6442154274373
8.6,435.7219880519019,297.651794432466
8.7,435.8815460525054,297.65937343749465
8.8,436.04110405310894,297.6669524425233
8.9,436.20066205371245,297.674531447552
9.0,436.36022005431596,297.6821104525807
9.1,436.51977805491947,297.68968945760935
9.2,436.679336055523,297.697268462638
9.3,436.8388940561265,297.7048474676667
9.4,436.99845205673,297.71242647269537
9.5,437.1580100573335,297.72000547772404
9.6,437.317568057937,297.7275844827527
9.7,437.47712605854053,297.7351634877814
9.8,437.63668405914405,297.74274249281007
9.9,437.79624205974756,297.75032149783874
10.0,437.95580006035107,297.7579005028674
10.1,438.1153580609546,297.7654795078961
10.2,438.2749160615581,297.77305851292476
10.3,438.4344740621616,297.78063751795344
10.4,438.5940320627651,297.7882165229821
10.5,438.7535900633686,297.7957955280108
10.6,438.91314806397213,297.80337453303946
10.7,439.07270606457564,297.81095353806813
10.8,439.23226406517915,297.8185325430968
10.9,439.39182206578266,297.8261115481255
11.0,439.5513800663862,297.83369055315416
11.1,439.7109380669897,297.84126955818283
11.2,439.8704960675932,297.8488485632115
11.3,440.0300540681967,297.8564275682402
11.4,440.1896120688002,297.86400657326885
11.5,440.3491700694037,297.8715855782975
11.6,440.50872807000724,297.8791645833262
11.7,440.66828607061075,297.8867435883549
11.8,440.82784407121426,297.89432259338355
11.9,440.98740207181777,297.9019015984122
12.0,441.1469600724213,297.9094806034409
12.1,441.3065180730248,297.9170596084696
12.2,441.4660760736283,297.92463861349825
12.3,441.6256340742318,297.9322176185269
12.4,441.7851920748353,297.9397966235556
12.5,441.94475007543883,297.94737562858427
12.6,442.10430807604234,297.95495463361294
12.7,442.26386607664585,297.9625336386416
12.8,442.42342407724936,297.9701126436703
12.9,442.5829820778529,297.97769164869896
13.0,442.7425400784564,297.98527065372764
13.1,442.9020980790599,297.9928496587563
13.2,443.0616560796634,298.000428663785
13.3,443.2212140802669,298.00800766881366
13.4,443.38077208087043,298.01558667384234
13.5,443.54033008147394,298.023165678871
13.6,443.69988808207745,298.0307446838997
13.7,443.85944608268096,298.03832368892836
13.8,444.01900408328447,298.04590269395703
13.9,444.178562083888,298.0534816989857
14.0,444.3381200844915,298.0610607040144
14.1,444.497678085095,298.06863970904305
14.2,444.6572360856985,298.07621871407173
14.3,444.816794086302,298.0837977191004
14.4,444.97635208690554,298.0913767241291
14.5,445.13591008750905,298.09895572915775
14.6,445.29546808811256,298.1065347341864
14.7,445.45502608871607,298.1141137392151
14.8,445.6145840893196,298.1216927442438
14.9,445.7741420899231,298.12927174927245
15.0,445.9337000905266,298.1368507543011
15.1,446.0932580911301,298.1444297593298
15.2,446.2528160917336,298.15200876435847
15.3,446.41237409233713,298.15958776938714
15.4,446.57193209294064,298.1671667744158
15.5,446.73149009354415,298.1747457794445
15.6,446.89104809414766,298.18232478447317
15.7,447.0506060947512,298.18990378950184
15.8,447.2101640953547,298.1974827945305
15.9,447.3697220959582,298.2050617995592
16.0,447.5292800965617,298.21264080458786
16.1,447.6888380971652,298.22021980961654
16.2,447.8483960977687,298.2277988146452
16.3,448.00795409837224,298.2353778196739
16.4,448.16751209897575,298.24295682470256
16.5,448.32707009957926,298.25053582973123
16.6,448.48662810018277,298.2581148347599
16.7,448.6461861007863,298.2656938397886
16.8,448.8057441013898,298.27327284481726
16.9,448.9653021019933,298.28085184984593
17.0,449.1248601025968,298.2884308548746
17.1,449.2844181032003,298.2960098599033
17.2,449.44397610380383,298.30358886493195
17.3,449.60353410440734,298.3111678699606
17.4,449.76309210501086,298.3187468749893
17.5,449.92265010561437,298.326325880018
17.6,450.0822081062179,298.33390488504665
17.7,450.2417661068214,298.3414838900753
17.8,450.4013241074249,298.349062895104
17.9,450.5608821080284,298.3566419001327
18.0,450.7204401086319,298.36422090516135
18.1,450.87999810923543,298.37179991019
18.2,451.03955610983894,298.3793789152187
18.3,451.19911411044245,298.38695792024737
18.4,451.35867211104596,298.39453692527604
18.5,451.5182301116495,298.4021159303047
18.6,451.677788112253,298.4096949353334
18.7,451.8373461128565,298.41727394036207
18.8,451.99690411346,298.42485294539074
18.9,452.1564621140635,298.4324319504194
19.0,452.316020114667,298.4400109554481
19.1,452.47557811527054,298.44758996047676
19.2,452.63513611587405,298.45516896550544
19.3,452.79469411647756,298.4627479705341
19.4,452.95425211708107,298.4703269755628
19.5,453.1138101176846,298.47790598059146
19.6,453.2733681182881,298.48548498562013
19.7,453.4329261188916,298.4930639906488
19.8,453.5924841194951,298.5006429956775
19.9,453.7520421200986,298.50822200070616
20.0,449.1302795410156,299.37359619140625
20.1,449.2659309387207,299.3854641723633
20.2,449.4015823364258,299.39733215332035
20.3,449.5372337341309,299.4092001342774
20.4,449.672885131836,299.42106811523445
20.5,449.8085365295411,299.4329360961915
20.6,449.94418792724616,299.44480407714855
20.7,450.07983932495125,299.4566720581056
20.8,450.21549072265634,299.46854003906265
20.9,450.35114212036143,299.4804080200197
21.0,450.4867935180665,299.49227600097674
21.1,450.6224449157716,299.5041439819338
21.2,450.7580963134767,299.51601196289084
21.3,450.8937477111818,299.5278799438479
21.4,451.0293991088869,299.53974792480494
21.5,451.16505050659197,299.551615905762
21.6,451.30070190429706,299.56348388671904
21.7,451.43635330200215,299.5753518676761
21.8,451.57200469970724,299.58721984863314
21.9,451.7076560974123,299.5990878295902
22.0,451.8433074951174,299.61095581054724
22.1,451.9789588928225,299.6228237915043
22.2,452.1146102905276,299.63469177246134
22.3,452.2502616882327,299.6465597534184
22.4,452.3859130859378,299.65842773437544
22.5,452.52156448364286,299.6702957153325
22.6,452.65721588134795,299.68216369628954
22.7,452.79286727905304,299.6940316772466
22.8,452.92851867675813,299.70589965820363
22.9,453.0641700744632,299.7177676391607
23.0,453.1998214721683,299.72963562011773
23.1,453.3354728698734,299.7415036010748
23.2,453.4711242675785,299.75337158203183
23.3,453.6067756652836,299.7652395629889
23.4,453.74242706298867,299.77710754394593
23.5,453.87807846069376,299.788975524903
23.6,454.01372985839885,299.80084350586003
23.7,454.14938125610394,299.8127114868171
23.8,454.285032653809,299.82457946777413
23.9,454.4206840515141,299.8364474487312
24.0,454.5563354492192,299.8483154296882
24.1,454.6919868469243,299.8601834106453
24.2,454.8276382446294,299.8720513916023
24.3,454.9632896423345,299.8839193725594
24.4,455.09894104003956,299.8957873535164
24.5,455.23459243774465,299.9076553344735
24.6,455.37024383544974,299.9195233154305
24.7,455.50589523315483,299.9313912963876
24.8,455.6415466308599,299.9432592773446
24.9,455.777198028565,299.9551272583017
25.0,455.9128418495504,299.9670103926961
25.1,456.04849309638803,299.97887867538793
25.2,456.1841443432257,299.99074695807974
25.3,456.31979559006334,300.00261524077155
25.4,456.455446836901,300.01448352346335
25.5,456.59109808373864,300.02635180615516
25.6,456.7267493305763,300.03822008884697
25.7,456.86240057741395,300.0500883715388
25.8,456.9980518242516,300.0619566542306
25.9,457.13370307108926,300.0738249369224
26.0,457.2693543179269,300.0856932196142
26.1,457.40500556476456,300.097561502306
26.2,457.5406568116022,300.1094297849978
26.3,457.6763080584399,300.1212980676896
26.4,457.8119593052775,300.13316635038143
26.5,457.9476105521152,300.14503463307324
26.6,458.08326179895283,300.15690291576504
26.7,458.2189130457905,300.16877119845685
26.8,458.35456429262814,300.18063948114866
26.9,458.4902155394658,300.19250776384047
27.0,458.62586678630345,300.2043760465323
27.1,458.7615180331411,300.2162443292241
27.2,458.89716927997875,300.2281126119159
27.3,459.0328205268164,300.2399808946077
27.4,459.16847177365406,300.2518491772995
27.5,459.3041230204917,300.2637174599913
27.6,459.43977426732937,300.2755857426831
27.7,459.575425514167,300.2874540253749
27.8,459.7110767610047,300.29932230806673
27.9,459.84672800784233,300.31119059075854
28.0,459.98237925468,300.32305887345035
28.1,460.11803050151764,300.33492715614216
28.2,460.2536817483553,300.34679543883396
28.3,460.38933299519294,300.3586637215258
28.4,460.5249842420306,300.3705320042176
28.5,460.66063548886825,300.3824002869094
28.6,460.7962867357059,300.3942685696012
28.7,460.93193798254356,300.406136852293
28.8,461.0675892293812,300.4180051349848
28.9,461.20324047621887,300.4298734176766
29.0,461.3388917230565,300.4417417003684
29.1,461.4745429698942,300.45360998306023
29.2,461.6101942167318,300.46547826575204
29.3,461.7458454635695,300.47734654844385
29.4,461.88149671040713,300.48921483113566
29.5,462.0171479572448,300.50108311382746
29.6,462.15279920408244,300.51295139651927
29.7,462.2884504509201,300.5248196792111
29.8,462.42410169775775,300.5366879619029
29.9,462.5597529445954,300.5485562445947
30.0,462.695404085227,300.56042473970143
30.1,462.83105533085376,300.57229302481505
30.2,462.96670657648053,300.5841613099287
30.3,463.1023578221073,300.5960295950423
30.4,463.2380090677341,300.6078978801559
30.5,463.37366031336086,300.61976616526954
30.6,463.50931155898763,300.63163445038316
30.7,463.6449628046144,300.6435027354968
30.8,463.7806140502412,300.6553710206104
30.9,463.91626529586796,300.667239305724
31.0,464.05191654149473,300.67910759083765
31.1,464.1875677871215,300.69097587595127
31.2,464.3232190327483,300.7028441610649
31.3,464.45887027837506,300.7147124461785
31.4,464.59452152400183,300.72658073129213
31.5,464.7301727696286,300.73844901640575
31.6,464.8658240152554,300.7503173015194
31.7,465.00147526088216,300.762185586633
31.8,465.13712650650893,300.7740538717466
31.9,465.2727777521357,300.78592215686024
32.0,465.4084289977625,300.79779044197386
32.1,465.54408024338926,300.8096587270875
32.2,465.67973148901604,300.8215270122011
32.3,465.8153827346428,300.8333952973147
