t_s,x_px,y_px,elevation
0.0,422.0,297.0,357.0528869628906
0.1,422.13,297.01,357.0528869628906
0.2,422.27,297.01,357.0528869628906
0.3,422.4,297.02,357.0528869628906
0.4,422.53,297.03,361.383544921875
0.5,422.67,297.03,361.383544921875
0.6,422.8,297.04,361.383544921875
0.7,422.93,297.04,361.383544921875
0.8,423.07,297.05,361.383544921875
0.9,423.2,297.06,361.383544921875
1.0,423.33,297.06,361.383544921875
1.1,423.47,297.07,361.383544921875
1.2,423.6,297.08,361.383544921875
1.3,423.73,297.08,361.383544921875
1.4,423.86,297.09,361.383544921875
1.5,424.0,297.09,361.383544921875
1.6,424.13,297.1,361.383544921875
1.7,424.26,297.11,361.383544921875
1.8,424.4,297.11,361.383544921875
1.9,424.53,297.12,365.4268798828125
2.0,424.66,297.13,365.4268798828125
2.1,424.8,297.13,365.4268798828125
2.2,424.93,297.14,365.4268798828125
2.3,425.06,297.15,365.4268798828125
2.4,425.2,297.15,365.4268798828125
2.5,425.33,297.16,365.4268798828125
2.6,425.46,297.16,365.4268798828125
2.7,425.6,297.17,365.4268798828125
2.8,425.73,297.18,365.4268798828125
2.9,425.86,297.18,365.4268798828125
3.0,426.0,297.19,365.4268798828125
3.1,426.13,297.2,365.4268798828125
3.2,426.26,297.2,365.4268798828125
3.3,426.4,297.21,365.4268798828125
3.4,426.53,297.22,365.2056579589844
3.5,426.66,297.22,365.2056579589844
3.6,426.79,297.23,365.2056579589844
3.7,426.93,297.23,365.2056579589844
3.8,427.06,297.24,365.2056579589844
3.9,427.19,297.25,365.2056579589844
4.0,427.33,297.25,365.2056579589844
4.1,427.46,297.26,365.2056579589844
4.2,427.59,297.27,365.2056579589844
4.3,427.73,297.27,365.2056579589844
4.4,427.86,297.28,365.2056579589844
4.5,427.99,297.28,365.2056579589844
4.6,428.13,297.29,365.2056579589844
4.7,428.26,297.3,365.2056579589844
4.8,428.39,297.3,365.2056579589844
4.9,428.53,297.31,367.712890625
5.0,428.66,297.32,367.712890625
5.1,428.79,297.32,367.712890625
5.2,428.93,297.33,367.712890625
5.3,429.06,297.34,367.712890625
5.4,429.19,297.34,367.712890625
5.5,429.33,297.35,367.712890625
5.6,429.46,297.35,367.712890625
5.7,429.59,297.36,367.712890625
5.8,429.72,297.37,367.712890625
5.9,429.86,297.37,367.712890625
6.0,429.99,297.38,367.712890625
6.1,430.12,297.39,367.712890625
6.2,430.26,297.39,367.712890625
6.3,430.39,297.4,367.712890625
6.4,430.52,297.4,371.70245361328125
6.5,430.66,297.41,371.70245361328125
6.6,430.79,297.42,371.70245361328125
6.7,430.92,297.42,371.70245361328125
6.8,431.06,297.43,371.70245361328125
6.9,431.19,297.44,371.70245361328125
7.0,431.32,297.44,371.70245361328125
7.1,431.46,297.45,371.70245361328125
7.2,431.59,297.46,371.70245361328125
7.3,431.72,297.46,371.70245361328125
7.4,431.86,297.47,371.70245361328125
7.5,431.99,297.47,371.70245361328125
7.6,432.12,297.48,371.70245361328125
7.7,432.26,297.49,371.70245361328125
7.8,432.39,297.49,371.70245361328125
7.9,432.52,297.5,372.9740295410156
8.0,432.65,297.51,372.2007751464844
8.1,432.79,297.51,372.2007751464844
8.2,432.92,297.52,372.2007751464844
8.3,433.05,297.53,372.2007751464844
8.4,433.19,297.53,372.2007751464844
8.5,433.32,297.54,372.2007751464844
8.6,433.45,297.54,372.2007751464844
8.7,433.59,297.55,372.2007751464844
8.8,433.72,297.56,372.2007751464844
8.9,433.85,297.56,372.2007751464844
9.0,433.99,297.57,372.2007751464844
9.1,434.12,297.58,372.2007751464844
9.2,434.25,297.58,372.2007751464844
9.3,434.39,297.59,372.2007751464844
9.4,434.52,297.59,376.1805419921875
9.5,434.65,297.6,376.1805419921875
9.6,434.79,297.61,376.1805419921875
9.7,434.92,297.61,376.1805419921875
9.8,435.05,297.62,376.1805419921875
9.9,435.19,297.63,376.1805419921875
10.0,435.32,297.63,376.1805419921875
10.1,435.45,297.64,376.1805419921875
10.2,435.58,297.65,376.1805419921875
10.3,435.72,297.65,376.1805419921875
10.4,435.85,297.66,376.1805419921875
10.5,435.98,297.66,376.1805419921875
10.6,436.12,297.67,376.1805419921875
10.7,436.25,297.68,376.1805419921875
10.8,436.38,297.68,376.1805419921875
10.9,436.52,297.69,378.6429443359375
11.0,436.65,297.7,378.6429443359375
11.1,436.78,297.7,378.6429443359375
11.2,436.92,297.71,378.6429443359375
11.3,437.05,297.71,378.6429443359375
11.4,437.18,297.72,378.6429443359375
11.5,437.32,297.73,378.6429443359375
11.6,437.45,297.73,378.6429443359375
11.7,437.58,297.74,378.6429443359375
11.8,437.72,297.75,378.6429443359375
