t_s,x_px,y_px
0.0,422.7192519002451,297.1760054076211
0.1,422.845973689948,297.1825727032868
0.2,422.9726955139796,297.1891400147663
0.3,423.0994173764754,297.19570736380433
0.4,423.2261392836136,297.20227478226894
0.5,423.35286124370583,297.20884231219094
0.6,423.47958326728735,297.2154100058037
0.7,423.6063053672074,297.2219779255827
0.8,423.7330275587196,297.22854614428513
0.9,423.85974985957216,297.2351147449895
1.0,423.9864722900985,297.24168382113515
1.1,424.11319487330735,297.24825347656196
1.2,424.23991763497327,297.2548238255499
1.3,424.3666406037268,297.2613949928586
1.4,424.49336381114495,297.2679671137667
1.5,424.62008729184157,297.27454033411186
1.6,424.74681108355753,297.28111481032977
1.7,424.8735352272512,297.28769070949403
1.8,425.00025976718865,297.2942682093555
1.9,425.12698475103406,297.3008474983817
2.0,425.25371022994,297.3074287757964
2.1,425.38043625863764,297.31401225161886
2.2,425.50716289552724,297.32059814670345
2.3,425.63389020276827,297.32718669277875
2.4,425.76061824636975,297.33377813248694
2.5,425.8873475097538,297.3403728425486
2.6,426.01407930731926,297.3469714569273
2.7,426.1408153710586,297.35357474374314
2.8,426.2675574371746,297.36018348218687
2.9,426.39430724617085,297.3667984625583
3.0,426.5210665429413,297.37342048630563
3.1,426.64783707686047,297.3800503660642
3.2,426.77462060187304,297.3866889256952
3.3,426.9014188013835,297.3933370283448
3.4,427.02823321314526,297.3999956045035
3.5,427.15506530455013,297.4066656240238
3.6,427.28191654791704,297.41334806813734
3.7,427.4087884205805,297.42004392949315
3.8,427.53568240497924,297.4267542121951
3.9,427.6625999887439,297.43347993183966
4.0,427.7895426647848,297.4402221155531
4.1,427.9165118672769,297.4469816847879
4.2,428.04350890764465,297.45375933811846
4.3,428.17053503875036,297.46055566851885
4.4,428.29759151908263,297.4673712806393
4.5,428.4246796128417,297.47420679084274
4.6,428.55180059002464,297.48106282723984
4.7,428.67895572650974,297.48794002972477
4.8,428.80614630414067,297.49483905000994
4.9,428.93337350738864,297.50176048888665
5.0,429.0606383200137,297.50870483348496
5.1,429.18794162856875,297.51567252008203
5.2,429.3152843259026,297.52266399690996
5.3,429.44266731124134,297.52967972418867
5.4,429.5700914902686,297.536720174159
5.5,429.69755777520584,297.5437858311149
5.6,429.82506708489126,297.5508771914359
5.7,429.9526203015436,297.557994654954
5.8,430.08021822752494,297.56513841632056
5.9,430.20786162873264,297.5723085737019
6.0,430.33555127799167,297.5795052374736
6.1,430.46328795512983,297.5867285302506
6.2,430.5910724470533,297.5939785869168
6.3,430.71890554782067,297.6012555546542
6.4,430.8467880587167,297.6085595929715
6.5,430.9747207044224,297.6158908187642
6.6,431.10270404918447,297.62324925137403
6.7,431.23073858078914,297.6306348675847
6.8,431.35882479453545,297.6380476566172
6.9,431.486963193305,297.6454876201561
7.0,431.6151542876306,297.6529547723759
7.1,431.74339859576463,297.66044913996666
7.2,431.87169664374596,297.6679707621589
7.3,432.0000488901865,297.6755196390397
7.4,432.1284556510566,297.68309567986745
7.5,432.25691717502974,297.6906987548053
7.6,432.3854337188265,297.69832874665343
