sample,t_s,x_est,y_est,vx_est,vy_est,speed_px_s,azimuth_deg,nav_status,terrain,radar_raw,radar_filtered,baro_filtered,hyp_score,last_corr,last_rough,position_uncertainty_px,velocity_uncertainty_px_s,solution_confidence,lon_est,lat_est,v_east_m_s,v_north_m_s,speed_m_s,course_deg,x_true,y_true,lon_true,lat_true,err_px,err_m,x_raw,y_raw,final_fix_corr,final_fix_shift_px
0,0.0,422.7192519002451,297.1760054076211,1.267217733225873,0.06567291931968525,1.2689183250840417,92.9666708092613,DEAD_RECKONING_NO_GPS,355.90000248771184,1144.1,1144.0999975122882,1500.0,0.0,nan,0.0,4.242640687119285,4.242640687119285,0.0,98.22033866997229,61.35425667627566,18.785091754014164,-2.030752605185378,18.894539643775346,96.16996970964681,422.0,297.0,98.22013887777779,61.35430556666666,0.7404736318857691,11.970837481680949,422.0,297.0,,
1,0.1,422.845973689948,297.1825727032868,1.2672180608312487,0.06567299399349444,1.2689186561151111,92.96667341092291,DEAD_RECKONING_NO_GPS,357.36389758358723,1142.4,1142.6361024164128,1500.0,0.0,nan,0.0,4.263801135723851,4.242646579671703,0.0,98.22037387046943,61.35425485202686,18.785097705313923,-2.0307549142655,18.89454580877783,96.1699747315073,422.13,297.01,98.2201749888889,61.35430278888889,0.7364778765295303,11.879517049509577,422.1591300496175,297.0139220753679,,
2,0.2,422.9726955139796,297.1891400147663,1.2672184198014362,0.06567323559683706,1.268919027108431,92.96668346659078,DEAD_RECKONING_NO_GPS,357.72548717118093,1141.7,1142.274512828819,1500.0,0.0,nan,0.0,4.3266616750099605,4.242652472215937,0.0,98.2204090709761,61.35425302777367,18.78510412156533,-2.0307623851777503,18.894552990825254,96.1699951638816,422.27,297.01,98.22021387777778,61.35430278888889,0.7251704146320015,11.797969202687922,422.318260099235,297.02784415073575,,
3,0.3,423.0994173764754,297.19570736380433,1.2672188301140617,0.06567374516450927,1.2689194632440564,92.96670548550162,DEAD_RECKONING_NO_GPS,358.9295315624106,1142.2,1141.0704684375894,1500.0,0.0,nan,0.0,4.429447411923975,4.242658364751987,0.0,98.22044427149348,61.35425120351005,18.785111298918192,-2.0307781421425477,18.894561820146766,96.17004032921966,422.4,297.02,98.2202499888889,61.35430001111111,0.7211502923876815,11.705441822286188,422.47739014885246,297.0417662261036,,
4,0.4,423.2261392836136,297.20227478226894,1.2672193126502904,0.06567462412739636,1.2689199906251574,92.9667439926306,DEAD_RECKONING_NO_GPS,361.3195331330978,1137.8,1138.6804668669022,1500.0,0.0,nan,0.0,4.569465012449488,4.242664257279853,0.0,98.22047947202323,61.35424937922714,18.785119546918068,-2.030805321628267,18.89457294162419,96.17011958249725,422.53,297.03,98.22028610000001,61.35429723333333,0.7171391097938276,11.613352312477193,422.63652019846995,297.0556883014715,,
5,0.5,423.35286124370583,297.20884231219094,1.2672198891948256,0.06567597431246569,1.2689206362782655,92.96680352868509,DEAD_RECKONING_NO_GPS,362.4546599810287,1138.0,1137.5453400189713,1500.0,0.0,nan,0.0,4.7434186643179626,4.242670149799535,0.0,98.2205146725677,61.35424755491328,18.785129188506204,-2.030847072351022,18.894587014807826,96.17024231119535,422.67,297.03,98.22032498888889,61.35429723333333,0.7058923790389467,11.5347831986783,422.79565024808744,297.06961037683936,,
6,0.6,423.47958326728735,297.2154100058037,1.267220582435904,0.06567789794274867,1.2689214281535992,92.96688865009571,DEAD_RECKONING_NO_GPS,362.0263978953915,1137.6,1137.9736021046085,1500.0,0.0,nan,0.0,4.9477303635101215,4.242676042311033,0.0,98.22054987312981,61.35424573055394,18.785140560019517,-2.030906555274106,18.894604713937408,96.1704179352709,422.8,297.04,98.2203611,61.354294455555554,0.7018561728110517,11.441468735635134,422.95478029770493,297.08353245220724,,
7,0.7,423.6063053672074,297.2219779255827,1.2672214159652895,0.06568049763731877,1.2689223951254698,92.96700392900556,DEAD_RECKONING_NO_GPS,361.5504763548963,1138.4,1138.4495236451037,1500.0,0.0,nan,0.0,5.178808441620524,4.242681934814347,0.0,98.22058507371312,61.35424390613178,18.785154011190492,-2.0309869436073127,18.894626727968184,96.17065590712127,422.93,297.04,98.22039721111112,61.354294455555554,0.7003605607920319,11.496738589523993,423.1139103473224,297.0974545275751,,
8,0.8,423.7330275587196,297.22854614428513,1.2672224142782647,0.06568387641126051,1.2689235669927657,92.96715395325589,DEAD_RECKONING_NO_GPS,361.3373675766102,1138.9,1138.6626324233898,1500.0,0.0,nan,0.0,5.433238905109916,4.242687827309477,0.0,98.22062027432187,61.35424208162659,18.785169905147082,-2.0310914228059778,18.89465376060222,96.17096571153917,423.07,297.05,98.2204361,61.35429167777777,0.6866471213518224,11.273159535378298,423.2730403969399,297.111376602943,,
9,0.9,423.85974985957216,297.2351147449895,1.2672236027736203,0.06568813767562315,1.2689249744795181,92.96734332636959,DEAD_RECKONING_NO_GPS,361.0639616192934,1138.7,1138.9360383807066,1500.0,0.0,nan,0.0,5.70789988743671,4.242693719796423,0.0,98.22065547496099,61.35424025701528,18.785188618412565,-2.0312231905695466,18.894686530324986,96.17135686565882,423.2,297.06,98.22047221111112,61.3542889,0.6825943532715787,11.17904332825946,423.4321704465574,297.12529867831086,,
10,1.0,423.9864722900985,297.24168382113515,1.26722500775364,0.06569338523736372,1.2689266492355489,92.96757666753047,DEAD_RECKONING_NO_GPS,360.78606366712756,1139.2,1139.2139363328724,1500.0,0.0,nan,0.0,6.000013854150672,4.242699612275186,0.0,98.22069067563615,61.354238432271906,18.78521054090528,-2.0313854568398138,18.894725770447135,96.1718389188934,423.33,297.06,98.22050832222223,61.3542889,0.6811496741021504,11.236732685239307,423.5913004961749,297.1392207536787,,
11,1.1,424.11319487330735,297.24825347656196,1.2672266564240824,0.06569972329927724,1.2689286238371964,92.96785861156025,DEAD_RECKONING_NO_GPS,360.88212633039166,1139.2,1139.1178736696083,1500.0,0.0,nan,0.0,6.307156362022429,4.242705504745765,0.0,98.2207258763537,61.35423660736762,18.78523607593846,-2.031581443798762,18.89477222915183,96.17242145286212,423.47,297.07,98.22054721111111,61.35428612222222,0.6674383469319464,11.013244486113676,423.75043054579237,297.1531428290466,,
