sample,t_s,x_est,y_est,vx_est,vy_est,speed_px_s,azimuth_deg,nav_status,terrain,radar_raw,radar_filtered,baro_filtered,hyp_score,last_corr,last_rough,position_uncertainty_px,velocity_uncertainty_px_s,solution_confidence,lon_est,lat_est,v_east_m_s,v_north_m_s,speed_m_s,course_deg,x_true,y_true,lon_true,lat_true,err_px,err_m,x_raw,y_raw,final_fix_corr,final_fix_shift_px
0,0.0,422.2292875037043,297.6842370882785,1.3426547365151869,0.015362379310036263,1.34274262023097,90.6555379178917,DEAD_RECKONING_NO_GPS,355.90000248771184,1144.1,1144.0999975122882,1500.0,0.0,nan,0.0,4.242640687119285,4.242640687119285,0.0,98.22020256875103,61.35411550080881,19.903451100721,-0.47503890688701017,19.90911920909231,91.36722812452672,422.0,297.0,98.22013887777779,61.35430556666666,0.7216322833208099,21.429402515604075,422.0,297.0,,
1,0.1,422.3635529913119,297.68577332652256,1.3426550156361567,0.01536238557114672,1.342742899405305,90.65553804877402,DEAD_RECKONING_NO_GPS,357.36389758358723,1142.4,1142.6361024164128,1500.0,0.0,nan,0.0,4.263801135723851,4.242646579671703,0.0,98.22023986471982,61.35411507407596,19.90345550976911,-0.4750391004944591,19.909123621504712,91.36722837878847,422.13,297.01,98.2201749888889,61.35430278888889,0.7149941178709979,21.1812814658473,422.08054035467865,297.0070463679907,,
2,0.2,422.49781849875467,297.68730956577053,1.3426551332184784,0.015362399388491096,1.3427430171380157,90.65553858092778,DEAD_RECKONING_NO_GPS,357.72548717118093,1141.7,1142.274512828819,1500.0,0.0,nan,0.0,4.3266616750099605,4.242652472215937,0.0,98.22027716069411,61.35411464734284,19.903457524176073,-0.4750395277574524,19.909125645532832,91.36722946972054,422.27,297.01,98.22021387777778,61.35430278888889,0.7145974504986147,21.214449555309205,422.1610807093573,297.0140927359814,,
3,0.3,422.6320840050479,297.688845807081,1.342654992646213,0.015362426821025935,1.3427428768888083,90.65553982004371,DEAD_RECKONING_NO_GPS,358.9295315624106,1142.2,1141.0704684375894,1500.0,0.0,nan,0.0,4.429447411923975,4.242658364751987,0.0,98.22031445666808,61.35411422060914,19.903455711711747,-0.47504037603239085,19.909123853824706,91.36723203470314,422.4,297.02,98.2202499888889,61.35430001111111,0.7079673008331305,20.966393154850074,422.24162106403594,297.02113910397213,,
4,0.4,422.7663494795744,297.6903820521813,1.3426544978844277,0.01536247518480982,1.342742382712741,90.65554212516815,DEAD_RECKONING_NO_GPS,361.3195331330978,1137.8,1138.6804668669022,1500.0,0.0,nan,0.0,4.569465012449488,4.242664257279853,0.0,98.22035175263322,61.35411379387439,19.903448648758847,-0.47504187154806365,19.90911682856636,91.36723682236504,422.53,297.03,98.22028610000001,61.35429723333333,0.7014025458595848,20.71886591465073,422.3221614187146,297.02818547196284,,
5,0.5,422.9006148821425,297.6919183035932,1.3426535534792006,0.015362553053002513,1.3427414392602288,90.65554590870425,DEAD_RECKONING_NO_GPS,362.4546599810287,1138.0,1137.5453400189713,1500.0,0.0,nan,0.0,4.7434186643179626,4.242670149799535,0.0,98.22038904857838,61.354113367137884,19.903434920313032,-0.4750442794056221,19.90910316148199,91.36724469258661,422.67,297.03,98.22032498888889,61.35429723333333,0.7009415556929945,20.75151390984488,422.40270177339323,297.03523183995355,,
6,0.6,423.03488016304436,297.69345456475867,1.342652064557639,0.015362670255863006,1.3427399517770673,90.65555163641415,DEAD_RECKONING_NO_GPS,362.0263978953915,1137.6,1137.9736021046085,1500.0,0.0,nan,0.0,4.9477303635101215,4.242676042311033,0.0,98.22042634448974,61.35411294039867,19.903413119983178,-0.4750479035785194,19.9090814538344,91.36725661650428,422.8,297.04,98.2203611,61.354294455555554,0.6943857423620202,20.504059736883633,422.4832421280719,297.04227820794426,,
7,0.7,423.1691452631136,297.69499084016553,1.3426499368278992,0.015362837880746896,1.342737826104453,90.65555982742194,DEAD_RECKONING_NO_GPS,361.5504763548963,1138.4,1138.4495236451037,1500.0,0.0,nan,0.0,5.178808441620524,4.242681934814347,0.0,98.22046364035087,61.35411251365551,19.90338184999174,-0.475053086912429,19.90905031642558,91.36727367651685,422.93,297.04,98.22039721111112,61.354294455555554,0.697282910711561,20.56168285355461,422.5637824827505,297.049324575935,,
8,0.8,423.3034101137839,297.69652713547316,1.342647076579214,0.015363068272102778,1.3427349686790178,90.65557105421794,DEAD_RECKONING_NO_GPS,361.3373675766102,1138.9,1138.6626324233898,1500.0,0.0,nan,0.0,5.433238905109916,4.242687827309477,0.0,98.22050093614273,61.35411208690681,19.903339721175143,-0.4750602111251337,19.90900836959748,91.36729706629342,423.07,297.05,98.2204361,61.35429167777777,0.6873700736282737,20.289264323376287,422.6443228374292,297.0563709439257,,
9,0.9,423.4376746371469,297.69806345763834,1.342643390681937,0.015363375031466717,1.342731286532881,90.65558594266315,DEAD_RECKONING_NO_GPS,361.0639616192934,1138.7,1138.9360383807066,1500.0,0.0,nan,0.0,5.70789988743671,4.242693719796423,0.0,98.22053823184366,61.35411166015065,19.903285352984472,-0.47506969680635414,19.908954243233115,91.36732809078404,423.2,297.06,98.22047221111112,61.3542889,0.6808922154910574,20.04244836087721,422.7248631921078,297.0634173119164,,
10,1.0,423.5719387460104,297.6995998150408,1.342638786587594,0.015363773017455548,1.3427266872937094,90.65560517199606,DEAD_RECKONING_NO_GPS,360.78606366712756,1139.2,1139.2139363328724,1500.0,0.0,nan,0.0,6.000013854150672,4.242699612275186,0.0,98.22057552742945,61.35411123338471,19.903217373486253,-0.4750820034175421,19.908886576758036,91.36736816623267,423.33,297.06,98.22050832222223,61.3542889,0.6838291308662807,20.100400187917547,422.80540354678647,297.0704636799071,,
11,1.1,423.7062023439562,297.701136217609,1.3426331723289464,0.015364278345758278,1.3427210791847934,90.6556294748396,DEAD_RECKONING_NO_GPS,360.88212633039166,1139.2,1139.1178736696083,1500.0,0.0,nan,0.0,6.307156362022429,4.242705504745765,0.0,98.22061282287332,61.354110806606215,19.90313441936344,-0.4750976292916143,19.90880401914209,91.3674188201922,423.47,297.07,98.22054721111111,61.35428612222222,0.6738875814764759,19.827748374243523,422.8859439014651,297.0775100478978,,
12,1.2,423.84046532539867,297.7026726769458,1.3426264565200738,0.015364908389125076,1.342714371025147,90.6556596372103,DEAD_RECKONING_NO_GPS,361.3640381884218,1138.3,1138.6359618115782,1500.0,0.0,nan,0.0,6.6272383011326825,4.2427113972081605,0.0,98.22065011814595,61.35411037981196,19.903035135916628,-0.47511711163261205,19.908705228901702,91.36748169154322,423.6,297.08,98.22058332222223,61.35428334444444,0.6674914496335673,19.581609769404963,422.96648425614376,297.0845564158885,,
13,1.3,423.9747275756425,297.7042092064541,1.342618548356468,0.01536568177735427,1.3427064722296205,90.65569649852858,DEAD_RECKONING_NO_GPS,361.61738599787213,1138.6,1138.3826140021279,1500.0,0.0,nan,0.0,6.95847437481809,4.242717289662372,0.0,98.22068741321546,61.3541099529982,19.902918177065494,-0.47514102651529927,19.908588874102605,91.36755853051523,423.73,297.08,98.22061943333334,61.35428334444444,0.6704690296366461,19.639903482282655,423.0470246108224,297.09160278387924,,
14,1.4,424.1089889709411,297.70574582146287,1.342609357615146,0.015366618397276474,1.3426972928090393,90.65574095163066,DEAD_RECKONING_NO_GPS,361.5000561160323,1137.9,1138.4999438839677,1500.0,0.0,nan,0.0,7.299346323473083,4.242723182108399,0.0,98.22072470804748,61.3541095261607,19.90278220535047,-0.4751699888846714,19.908453632363113,91.36765119871148,423.86,297.09,98.22065554444445,61.35428056666667,0.664182523331733,19.39468337701843,423.12756496550105,297.09864915186995,,
15,1.5,424.2432493785546,297.7072825393524,1.3425987946547835,0.015367739392734933,1.3426867433703664,90.65579394278222,DEAD_RECKONING_NO_GPS,361.4856244510497,1138.6,1138.5143755489503,1500.0,0.0,nan,0.0,7.648566001218792,4.242729074546244,0.0,98.22076200260516,61.35410909929462,19.902625891934786,-0.47520465255534794,19.908298190858083,91.36776166913717,424.0,297.09,98.22069443333334,61.35428056666667,0.6634817205896077,19.42536210141438,423.2081053201797,297.10569551986066,,
