t_s,lon,lat,speed_m_s,course_deg,v_east_m_s,v_north_m_s
0.0,98.22020256875103,61.35411550080881,19.90911920909231,91.36722812452672,19.903451100721,-0.47503890688701017
0.1,98.22023986471982,61.35411507407596,19.909123621504712,91.36722837878847,19.90345550976911,-0.4750391004944591
0.2,98.22027716069411,61.35411464734284,19.909125645532832,91.36722946972054,19.903457524176073,-0.4750395277574524
0.3,98.22031445666808,61.35411422060914,19.909123853824706,91.36723203470314,19.903455711711747,-0.47504037603239085
0.4,98.22035175263322,61.35411379387439,19.90911682856636,91.36723682236504,19.903448648758847,-0.47504187154806365
0.5,98.22038904857838,61.354113367137884,19.90910316148199,91.36724469258661,19.903434920313032,-0.4750442794056221
0.6,98.22042634448974,61.35411294039867,19.9090814538344,91.36725661650428,19.903413119983178,-0.4750479035785194
0.7,98.22046364035087,61.35411251365551,19.90905031642558,91.36727367651685,19.90338184999174,-0.475053086912429
0.8,98.22050093614273,61.35411208690681,19.90900836959748,91.36729706629342,19.903339721175143,-0.4750602111251337
0.9,98.22053823184366,61.35411166015065,19.908954243233115,91.36732809078404,19.903285352984472,-0.47506969680635414
1.0,98.22057552742945,61.35411123338471,19.908886576758036,91.36736816623267,19.903217373486253,-0.4750820034175421
1.1,98.22061282287332,61.354110806606215,19.90880401914209,91.3674188201922,19.90313441936344,-0.4750976292916143
1.2,98.22065011814595,61.35411037981196,19.908705228901702,91.36748169154322,19.903035135916628,-0.47511711163261205
1.3,98.22068741321546,61.3541099529982,19.908588874102605,91.36755853051523,19.902918177065494,-0.47514102651529927
1.4,98.22072470804748,61.3541095261607,19.908453632363113,91.36765119871148,19.90278220535047,-0.4751699888846714
1.5,98.22076200260516,61.35410909929462,19.908298190858083,91.36776166913717,19.902625891934786,-0.47520465255534794
1.6,98.22079929684912,61.35410867239453,19.90812124632346,91.36789202623129,19.902447916606683,-0.47524571021089607
1.7,98.22083659074063,61.354108245374285,19.907929053809273,91.36855715307911,19.90225026061217,-0.4754721605584204
1.8,98.22087388424468,61.354107817986936,19.907727889803272,91.37027206472123,19.90203491392982,-0.47606304117150516
1.9,98.22091117732691,61.35410738990474,19.907516512705428,91.37303921306261,19.901800582443865,-0.4770191613302644
2.0,98.22094846995054,61.354106960799214,19.90729371075865,91.37686116510463,19.90154598067583,-0.4783413691670673
