t_s,x_px,y_px
0.0,422.2292875037043,297.6842370882785
0.1,422.3635529913119,297.68577332652256
0.2,422.49781849875467,297.68730956577053
0.3,422.6320840050479,297.688845807081
0.4,422.7663494795744,297.6903820521813
0.5,422.9006148821425,297.6919183035932
0.6,423.03488016304436,297.69345456475867
0.7,423.1691452631136,297.69499084016553
0.8,423.3034101137839,297.69652713547316
0.9,423.4376746371469,297.69806345763834
1.0,423.5719387460104,297.6995998150408
1.1,423.7062023439562,297.701136217609
1.2,423.84046532539867,297.7026726769458
1.3,423.9747275756425,297.7042092064541
1.4,424.1089889709411,297.70574582146287
1.5,424.2432493785546,297.7072825393524
1.6,424.3775086568081,297.7088193796803
1.7,424.5117666662562,297.71035665255795
1.8,424.6460232808474,297.71189524702714
1.9,424.78027837687586,297.7134363429349
2.0,424.91453182193385,297.7149811228081
2.1,425.0487834749696,297.71653077197936
2.2,425.18303318634577,297.7180864787124
2.3,425.31728079789787,297.71964943432744
2.4,425.4515261429923,297.721220833327
2.5,425.5857690650401,297.722802227582
2.6,425.72000943601,297.724395880519
2.7,425.85424713803195,297.72600441318326
2.8,425.98848204500104,297.72763045030234
2.9,426.1227140226356,297.7292766204104
3.0,426.2569429285362,297.73094555597277
3.1,426.39116861224403,297.73263989350966
3.2,426.52539091529974,297.7343622737198
3.3,426.6596096971441,297.7361152612917
3.4,426.79382486101866,297.73790126471386
3.5,426.9280363281827,297.73972261670974
3.6,427.0622440121302,297.7415816546712
3.7,427.19644781864883,297.74348072077987
3.8,427.330647645879,297.7454221621276
3.9,427.464843384373,297.7474083308368
4.0,427.599034917154,297.74944158417924
4.1,427.7332221530588,297.75152416952915
4.2,427.8674050600812,297.753658109315
4.3,428.00158363214695,297.75584531630244
4.4,428.1357578558903,297.75808770887664
4.5,428.2699277107131,297.7603872111577
4.6,428.4040931688444,297.7627457531152
4.7,428.5382541954001,297.76516527068196
4.8,428.6724107484427,297.76764770586664
4.9,428.80656276983143,297.77019485607144
5.0,428.9407101760727,297.77280822340884
5.1,429.07485286758936,297.7754891656054
5.2,429.2089907379903,297.7782390469047
5.3,429.34312367413014,297.7810592381751
5.4,429.4772515561698,297.7839511170164
5.5,429.6113742576362,297.78691606786504
5.6,429.7454916454828,297.78995548209883
5.7,429.87960357851733,297.7930705707012
5.8,430.0137099058297,297.7962621769246
5.9,430.1478104684851,297.79953096383
6.0,430.2819051012167,297.8028776018255
6.1,430.4159936324867,297.80630276876445
6.2,430.5500758845468,297.80980715004273
6.3,430.68415167349923,297.8133914386949
6.4,430.81822080935734,297.8170563354888
