t_s,x_px,y_px,elevation
0.0,575.0,234.0,412.326171875
0.1,575.11,234.08,412.326171875
0.2,575.21,234.16,412.326171875
0.3,575.32,234.24,412.326171875
0.4,575.43,234.32,412.326171875
0.5,575.54,234.4,412.326171875
0.6,575.64,234.48,412.326171875
0.7,575.75,234.55,409.0501708984375
0.8,575.86,234.63,409.0501708984375
0.9,575.97,234.71,409.0501708984375
1.0,576.07,234.79,409.0501708984375
1.1,576.18,234.87,409.0501708984375
1.2,576.29,234.95,409.0501708984375
1.3,576.39,235.03,409.0501708984375
1.4,576.5,235.11,410.0433044433594
1.5,576.61,235.19,410.0433044433594
1.6,576.72,235.27,410.0433044433594
1.7,576.82,235.35,410.0433044433594
1.8,576.93,235.43,410.0433044433594
1.9,577.04,235.51,409.4593505859375
2.0,577.14,235.59,409.4593505859375
2.1,577.25,235.66,409.4593505859375
2.2,577.36,235.74,409.4593505859375
2.3,577.47,235.82,409.4593505859375
2.4,577.57,235.9,409.4593505859375
2.5,577.68,235.98,409.4593505859375
2.6,577.79,236.06,409.4593505859375
2.7,577.9,236.14,409.4593505859375
2.8,578.0,236.22,409.4593505859375
2.9,578.11,236.3,409.4593505859375
3.0,578.22,236.38,409.4593505859375
3.1,578.32,236.46,409.4593505859375
3.2,578.43,236.54,410.2341613769531
3.3,578.54,236.62,411.84393310546875
3.4,578.65,236.69,411.84393310546875
3.5,578.75,236.77,411.84393310546875
3.6,578.86,236.85,411.84393310546875
3.7,578.97,236.93,411.84393310546875
3.8,579.07,237.01,411.84393310546875
3.9,579.18,237.09,411.84393310546875
4.0,579.29,237.17,411.84393310546875
4.1,579.4,237.25,411.84393310546875
4.2,579.5,237.33,411.84393310546875
4.3,579.61,237.41,411.84393310546875
4.4,579.72,237.49,411.84393310546875
4.5,579.83,237.57,413.0220642089844
4.6,579.93,237.65,413.0220642089844
4.7,580.04,237.72,413.0220642089844
4.8,580.15,237.8,413.0220642089844
4.9,580.25,237.88,413.0220642089844
5.0,580.36,237.96,413.0220642089844
5.1,580.47,238.04,413.0220642089844
5.2,580.58,238.12,412.7013244628906
5.3,580.68,238.2,412.7013244628906
5.4,580.79,238.28,412.7013244628906
5.5,580.9,238.36,412.7013244628906
5.6,581.0,238.44,412.7013244628906
5.7,581.11,238.52,413.8537902832031
5.8,581.22,238.6,413.8537902832031
5.9,581.33,238.68,413.8537902832031
