t_s,x_px,y_px,elevation
0.0,302.0,663.0,26.0
0.1,305.68,664.57,27.0
0.2,309.36,666.13,28.0
0.3,313.04,667.7,26.0
0.4,316.72,669.26,26.0
0.5,320.41,670.83,26.0
0.6,324.09,672.39,28.0
0.7,327.77,673.96,27.0
0.8,331.45,675.52,26.0
0.9,335.13,677.09,26.0
1.0,338.81,678.65,26.0
1.1,342.49,680.22,26.0
1.2,346.17,681.78,27.0
1.3,349.85,683.35,25.0
1.4,353.54,684.91,26.0
1.5,357.22,686.48,27.0
1.6,360.9,688.04,26.0
1.7,364.58,689.61,27.0
1.8,368.26,691.17,26.0
1.9,371.94,692.74,26.0
2.0,375.62,694.3,26.0
2.1,379.3,695.87,24.0
2.2,382.98,697.43,25.0
2.3,386.67,699.0,26.0
2.4,390.35,700.56,25.0
2.5,394.03,702.13,25.0
2.6,397.71,703.69,25.0
2.7,401.39,705.26,25.0
2.8,405.07,706.82,24.0
2.9,408.75,708.39,22.0
3.0,412.43,709.95,20.0
3.1,416.11,711.52,14.0
3.2,419.8,713.08,10.0
3.3,423.48,714.65,1.0
3.4,427.16,716.21,1.0
3.5,430.84,717.78,1.0
3.6,434.52,719.34,1.0
3.7,438.2,720.91,1.0
3.8,441.88,722.47,1.0
3.9,445.56,724.04,1.0
4.0,449.25,725.6,2.0
4.1,452.93,727.17,2.0
4.2,456.61,728.73,2.0
4.3,460.29,730.3,2.0
4.4,463.97,731.86,1.0
4.5,467.65,733.43,1.0
4.6,471.33,734.99,1.0
4.7,475.01,736.56,1.0
4.8,478.69,738.12,1.0
4.9,482.38,739.69,1.0
5.0,486.06,741.25,1.0
5.1,489.74,742.82,1.0
5.2,493.42,744.38,1.0
5.3,497.1,745.95,1.0
5.4,500.78,747.51,1.0
5.5,504.46,749.08,1.0
5.6,508.14,750.64,1.0
5.7,511.82,752.21,1.0
5.8,515.51,753.77,1.0
5.9,519.19,755.34,1.0
6.0,522.87,756.9,1.0
6.1,526.55,758.47,1.0
6.2,530.23,760.03,1.0
6.3,533.91,761.6,1.0
6.4,537.59,763.16,1.0
6.5,541.27,764.73,1.0
6.6,544.95,766.29,1.0
6.7,548.64,767.86,1.0
6.8,552.32,769.42,1.0
6.9,556.0,770.99,1.0
7.0,559.68,772.55,1.0
7.1,563.36,774.12,1.0
7.2,567.04,775.68,1.0
7.3,570.72,777.25,1.0
7.4,574.4,778.81,1.0
7.5,578.08,780.38,1.0
7.6,581.77,781.94,1.0
7.7,585.45,783.51,1.0
7.8,589.13,785.07,1.0
7.9,592.81,786.64,1.0
8.0,596.49,788.2,1.0
8.1,600.17,789.77,1.0
8.2,603.85,791.33,1.0
8.3,607.53,792.9,1.0
8.4,611.21,794.46,2.0
8.5,614.9,796.03,1.0
8.6,618.58,797.59,1.0
8.7,622.26,799.16,1.0
8.8,625.94,800.72,2.0
8.9,629.62,802.29,1.0
9.0,633.3,803.85,1.0
9.1,636.98,805.42,2.0
9.2,640.66,806.98,2.0
9.3,644.34,808.55,2.0
9.4,648.03,810.11,2.0
9.5,651.71,811.68,1.0
9.6,655.39,813.24,1.0
9.7,659.07,814.81,2.0
9.8,662.75,816.37,2.0
9.9,666.43,817.94,2.0
10.0,670.11,819.5,2.0
10.1,673.79,821.07,2.0
10.2,677.47,822.63,1.0
10.3,681.16,824.2,1.0
10.4,684.84,825.76,1.0
10.5,688.52,827.33,1.0
10.6,692.2,828.89,1.0
10.7,695.88,830.46,2.0
10.8,699.56,832.02,1.0
10.9,703.24,833.59,2.0
11.0,706.92,835.15,1.0
11.1,710.6,836.72,1.0
11.2,714.29,838.28,2.0
11.3,717.97,839.85,2.0
11.4,721.65,841.41,2.0
11.5,725.33,842.98,2.0
11.6,729.01,844.54,1.0
11.7,732.69,846.11,2.0
11.8,736.37,847.67,2.0
11.9,740.05,849.24,2.0
12.0,743.74,850.8,1.0
12.1,747.42,852.37,1.0
12.2,751.1,853.93,1.0
12.3,754.78,855.5,1.0
12.4,758.46,857.06,1.0
12.5,762.14,858.63,1.0
12.6,765.82,860.19,1.0
12.7,769.5,861.76,1.0
12.8,773.18,863.32,2.0
12.9,776.87,864.89,1.0
13.0,780.55,866.45,1.0
13.1,784.23,868.02,2.0
13.2,787.91,869.58,2.0
13.3,791.59,871.15,2.0
13.4,795.27,872.71,1.0
13.5,798.95,874.28,1.0
13.6,802.63,875.84,1.0
13.7,806.31,877.41,1.0
13.8,810.0,878.97,1.0
13.9,813.68,880.54,1.0
14.0,817.36,882.1,1.0
14.1,821.04,883.67,1.0
14.2,824.72,885.23,1.0
14.3,828.4,886.8,1.0
14.4,832.08,888.36,1.0
14.5,835.76,889.93,1.0
14.6,839.44,891.49,1.0
14.7,843.13,893.06,1.0
14.8,846.81,894.62,1.0
14.9,850.49,896.19,1.0
15.0,854.17,897.75,1.0
15.1,857.85,899.32,1.0
15.2,861.53,900.88,1.0
15.3,865.21,902.45,1.0
15.4,868.89,904.01,1.0
15.5,872.57,905.58,1.0
15.6,876.26,907.14,1.0
15.7,879.94,908.71,1.0
15.8,883.62,910.27,1.0
15.9,887.3,911.84,1.0
16.0,890.98,913.4,1.0
16.1,894.66,914.97,1.0
16.2,898.34,916.53,1.0
16.3,902.02,918.1,1.0
16.4,905.7,919.66,1.0
16.5,909.39,921.23,1.0
16.6,913.07,922.79,1.0
16.7,916.75,924.36,1.0
16.8,920.43,925.92,1.0
16.9,924.11,927.49,1.0
17.0,927.79,929.05,1.0
17.1,931.47,930.62,1.0
17.2,935.15,932.19,1.0
17.3,938.83,933.75,1.0
17.4,942.52,935.32,1.0
17.5,946.2,936.88,1.0
17.6,949.88,938.45,1.0
17.7,953.56,940.01,1.0
17.8,957.24,941.58,1.0
17.9,960.92,943.14,1.0
18.0,964.6,944.71,1.0
18.1,968.28,946.27,1.0
18.2,971.96,947.84,1.0
18.3,975.65,949.4,1.0
18.4,979.33,950.97,1.0
18.5,983.01,952.53,1.0
18.6,986.69,954.1,1.0
18.7,990.37,955.66,1.0
18.8,994.05,957.23,1.0
18.9,997.73,958.79,1.0
19.0,1001.41,960.36,1.0
19.1,1005.09,961.92,1.0
19.2,1008.78,963.49,1.0
19.3,1012.46,965.05,1.0
19.4,1016.14,966.62,1.0
19.5,1019.82,968.18,1.0
19.6,1023.5,969.75,1.0
19.7,1027.18,971.31,1.0
19.8,1030.86,972.88,1.0
19.9,1034.54,974.44,1.0
20.0,1038.23,976.01,1.0
