t_s,x_px,y_px,elevation
0.0,394.0,504.0,1.0
0.1,394.45,504.22,1.0
0.2,394.9,504.43,1.0
0.3,395.35,504.65,1.0
0.4,395.8,504.87,1.0
0.5,396.25,505.08,1.0
0.6,396.7,505.3,1.0
0.7,397.15,505.52,1.0
0.8,397.6,505.73,1.0
0.9,398.05,505.95,1.0
1.0,398.51,506.17,1.0
1.1,398.96,506.38,1.0
1.2,399.41,506.6,1.0
1.3,399.86,506.82,1.0
1.4,400.31,507.04,1.0
1.5,400.76,507.25,1.0
1.6,401.21,507.47,1.0
1.7,401.66,507.69,1.0
1.8,402.11,507.9,1.0
1.9,402.56,508.12,1.0
2.0,403.01,508.34,1.0
2.1,403.46,508.55,6.0
2.2,403.91,508.77,18.0
2.3,404.36,508.99,18.0
2.4,404.81,509.2,18.0
2.5,405.26,509.42,18.0
2.6,405.71,509.64,19.0
2.7,406.16,509.85,19.0
2.8,406.62,510.07,19.0
2.9,407.07,510.29,19.0
3.0,407.52,510.5,22.0
3.1,407.97,510.72,22.0
3.2,408.42,510.94,22.0
3.3,408.87,511.15,22.0
3.4,409.32,511.37,22.0
3.5,409.77,511.59,25.0
3.6,410.22,511.81,25.0
3.7,410.67,512.02,25.0
3.8,411.12,512.24,25.0
3.9,411.57,512.46,26.0
4.0,412.02,512.67,26.0
4.1,412.47,512.89,26.0
4.2,412.92,513.11,26.0
4.3,413.37,513.32,26.0
4.4,413.82,513.54,30.0
4.5,414.27,513.76,30.0
4.6,414.73,513.97,30.0
4.7,415.18,514.19,30.0
4.8,415.63,514.41,30.0
4.9,416.08,514.62,30.0
5.0,416.53,514.84,30.0
5.1,416.98,515.06,30.0
5.2,417.43,515.27,30.0
5.3,417.88,515.49,33.0
5.4,418.33,515.71,32.0
5.5,418.78,515.92,32.0
5.6,419.23,516.14,32.0
5.7,419.68,516.36,31.0
5.8,420.13,516.57,31.0
5.9,420.58,516.79,31.0
6.0,421.03,517.01,31.0
6.1,421.48,517.23,31.0
6.2,421.93,517.44,30.0
6.3,422.38,517.66,31.0
6.4,422.84,517.88,31.0
6.5,423.29,518.09,31.0
6.6,423.74,518.31,36.0
6.7,424.19,518.53,34.0
6.8,424.64,518.74,34.0
6.9,425.09,518.96,34.0
7.0,425.54,519.18,36.0
7.1,425.99,519.39,36.0
7.2,426.44,519.61,35.0
7.3,426.89,519.83,35.0
7.4,427.34,520.04,35.0
7.5,427.79,520.26,34.0
7.6,428.24,520.48,34.0
7.7,428.69,520.69,34.0
7.8,429.14,520.91,34.0
7.9,429.59,521.13,31.0
8.0,430.04,521.34,31.0
8.1,430.49,521.56,33.0
8.2,430.95,521.78,33.0
8.3,431.4,522.0,33.0
8.4,431.85,522.21,31.0
8.5,432.3,522.43,31.0
8.6,432.75,522.65,32.0
8.7,433.2,522.86,32.0
8.8,433.65,523.08,34.0
8.9,434.1,523.3,34.0
9.0,434.55,523.51,34.0
9.1,435.0,523.73,34.0
9.2,435.45,523.95,34.0
9.3,435.9,524.16,33.0
9.4,436.35,524.38,33.0
9.5,436.8,524.6,30.0
9.6,437.25,524.81,30.0
9.7,437.7,525.03,30.0
9.8,438.15,525.25,30.0
9.9,438.6,525.46,30.0
10.0,439.05,525.68,30.0
10.1,439.51,525.9,33.0
10.2,439.96,526.11,33.0
10.3,440.41,526.33,33.0
10.4,440.86,526.55,30.0
10.5,441.31,526.76,30.0
10.6,441.76,526.98,30.0
10.7,442.21,527.2,30.0
10.8,442.66,527.42,30.0
10.9,443.11,527.63,33.0
11.0,443.56,527.85,34.0
11.1,444.01,528.07,34.0
11.2,444.46,528.28,34.0
11.3,444.91,528.5,34.0
11.4,445.36,528.72,35.0
11.5,445.81,528.93,35.0
11.6,446.26,529.15,35.0
11.7,446.71,529.37,35.0
11.8,447.16,529.58,34.0
11.9,447.62,529.8,33.0
12.0,448.07,530.02,33.0
12.1,448.52,530.23,33.0
12.2,448.97,530.45,33.0
12.3,449.42,530.67,29.0
12.4,449.87,530.88,29.0
12.5,450.32,531.1,29.0
12.6,450.77,531.32,29.0
12.7,451.22,531.53,30.0
12.8,451.67,531.75,34.0
12.9,452.12,531.97,34.0
13.0,452.57,532.19,34.0
13.1,453.02,532.4,34.0
13.2,453.47,532.62,32.0
13.3,453.92,532.84,30.0
13.4,454.37,533.05,30.0
13.5,454.82,533.27,30.0
13.6,455.27,533.49,30.0
13.7,455.73,533.7,31.0
13.8,456.18,533.92,31.0
13.9,456.63,534.14,31.0
14.0,457.08,534.35,31.0
14.1,457.53,534.57,31.0
14.2,457.98,534.79,31.0
14.3,458.43,535.0,31.0
14.4,458.88,535.22,31.0
14.5,459.33,535.44,31.0
14.6,459.78,535.65,31.0
14.7,460.23,535.87,31.0
14.8,460.68,536.09,31.0
14.9,461.13,536.3,31.0
15.0,461.58,536.52,31.0
15.1,462.03,536.74,31.0
15.2,462.48,536.95,31.0
15.3,462.93,537.17,31.0
15.4,463.38,537.39,31.0
15.5,463.84,537.61,34.0
15.6,464.29,537.82,34.0
15.7,464.74,538.04,34.0
15.8,465.19,538.26,34.0
15.9,465.64,538.47,35.0
16.0,466.09,538.69,37.0
