idx,x,y,elevation
1,424.0,1126.0,1.0
2,441.38,1119.45,1.0
3,458.76,1112.9,1.0
4,476.14,1106.35,1.0
5,493.52,1099.81,1.0
6,510.9,1093.26,1.0
7,528.28,1086.71,1.0
8,545.66,1080.16,1.0
9,563.04,1073.61,1.0
10,580.42,1067.06,1.0
11,597.8,1060.52,1.0
12,615.19,1053.97,1.0
13,632.57,1047.42,1.0
14,649.95,1040.87,1.0
15,667.33,1034.32,1.0
16,684.71,1027.77,1.0
17,702.09,1021.22,1.0
18,719.47,1014.68,1.0
19,736.85,1008.13,1.0
20,754.23,1001.58,1.0
21,771.61,995.03,1.0
22,788.99,988.48,1.0
23,806.37,981.93,1.0
24,823.75,975.38,1.0
25,841.13,968.84,1.0
26,858.51,962.29,1.0
27,875.89,955.74,1.0
28,893.27,949.19,1.0
29,910.65,942.64,1.0
30,928.03,936.09,1.0
31,945.41,929.55,1.0
32,962.79,923.0,1.0
33,980.17,916.45,1.0
34,997.56,909.9,3.0
35,1014.94,903.35,2.0
36,1032.32,896.8,1.0
37,1049.7,890.25,7.0
38,1067.08,883.71,1.0
39,1084.46,877.16,10.0
40,1101.84,870.61,1.0
41,1119.22,864.06,9.0
42,1136.6,857.51,10.0
43,1153.98,850.96,9.0
44,1171.36,844.41,10.0
45,1188.74,837.87,5.0
46,1206.12,831.32,5.0
47,1223.5,824.77,9.0
48,1240.88,818.22,10.0
49,1258.26,811.67,10.0
50,1275.64,805.12,3.0
51,1293.02,798.58,1.0
52,1310.4,792.03,38.0
53,1327.78,785.48,33.0
54,1345.16,778.93,11.0
55,1362.54,772.38,12.0
56,1379.93,765.83,14.0
57,1397.31,759.28,10.0
58,1414.69,752.74,7.0
59,1432.07,746.19,1.0
60,1449.45,739.64,5.0
61,1466.83,733.09,22.0
62,1484.21,726.54,1.0
63,1501.59,719.99,12.0
64,1518.97,713.45,14.0
65,1536.35,706.9,14.0
66,1553.78,701.48,11.0
67,1571.71,706.36,12.0
68,1589.63,711.23,13.0
69,1607.55,716.1,18.0
70,1625.48,720.97,13.0
71,1643.4,725.84,12.0
72,1661.32,730.71,11.0
73,1679.25,735.58,10.0
74,1697.17,740.45,9.0
75,1715.09,745.32,9.0
76,1733.02,750.19,10.0
77,1750.94,755.06,8.0
78,1768.86,759.93,9.0
79,1786.78,764.8,1.0
80,1804.71,769.67,3.0
81,1822.63,774.55,6.0
82,1840.55,779.42,3.0
83,1858.48,784.29,1.0
84,1876.4,789.16,2.0
85,1894.32,794.03,236.0
86,1912.25,798.9,152.0
87,1930.17,803.77,147.0
